ID,2020 Food Sales,2020 FS Adjust,2021 Food Sales,2021 FS Adjust,2020 Total Sales,2020 TS Adjust,2021 Total Sales,2021 TS Adjust,2020 FS divided by TS,2021 FS divided by TS,BrandLogos,Comments,Company GHG Name,Company Foreign,DateEndFinancial2020,DateEndFinancial2021,DateEnd10k,DateEndGhg,Exclusions,ExclusionsText,GhgPermaLink,GhgReportArea,GhgReportName,GhgReportNotes,GhgReportUrl,LogoDownCo,NameChangeToParent,Parent,Public,Rank,RankIndustry,RankRevenues,RealZero,RevenuesArea,RevenuesGhgCo,S&P500,SasbIndustry,SasbIndustryShort,Scope1Emit,Scope2EmitLocation,Scope2EmitMarket,Scope2EmitUndifferentiated,Scope2Total,Scope1+2Reported,Scope1+2Total,Scope1+2Undiff,Scope1+2/Revenues,Subsidiary,Website,YearGhgData,YearRevenuesData,brands
56,2400,estimated,2400,estimated,2500,estimated,2500,estimated,0.96,0.96,y,,"Foster Farms, LLC",no,12/31/2020,12/31/2021,,,,,,,_no report as of 11/23/2022,no 2020 data,,yes,,_none,no,,,,,,2500,,Agricultural Products,,,,,,,,,,,,www.fosterfarms.com#http://www.fosterfarms.com#,,,4
57,2350,estimated,2400,estimated,2350,estimated,2400,estimated,1,1,y,Revenue is for named company; no emissions data for either entity,"Mountaire Farms, Inc.",no,12/31/2020,12/31/2021,,,,,,,_no report as of 12/14/2022,no 2020 data,,yes,no,Mountaire Corporation,no,,,,,,2400,,"Meat, Poultry & Dairy",,,,,,,,,,,,"www.mountaire.com#http://	www.mountaire.com#",,,1
58,2397,estimated,2397,estimated,5000,estimated,5000,estimated,0.4794,0.4794,y,,Schreiber Foods Inc.,no,12/31/2020,12/31/2021,,,,,,,_no report as of 11/25/2022,no 2020 data,,yes,,_none,no,,,,,,5000,,"Meat, Poultry & Dairy",,,,,,,,,,,,www.schreiberfoods.com#http://www.schreiberfoods.com#,,,9
59,2087,,2337,,3183,,3859,,0.655670751,0.605597305,y,,Premium Brands Holdings Corp.,yes,12/31/2020,12/31/2021,,12/31/2022,no,,,,ESG Report,,,yes,,_none,yes,,,,,,6300,,Processed Foods,,48963,,,33021,33021,yes,81984,,13.01333333,American Foods Group LLC,www.premiumbrandsholdings.com#http://www.premiumbrandsholdings.com#,2022,,37
60,2200,,2250,estimated,2200,,2250,estimated,1,1,y,Revenue is for named company; no emissions data for either entity,Wayne Farms LLC,no,12/31/2020,12/31/2021,,,,,,,_no report as of 12/14/2022,2021 reports intensity only,,yes,no,Continental Grain Company Corp.,no,,,,,,2250,,"Meat, Poultry & Dairy",,,,,,,,,,,,www.waynefarms.com#http://www.waynefarms.com#,,,5
61,2130,estimated,2209,estimated,2700,estimated,2800,estimated,0.788888889,0.788928571,y,,"Hilmar Cheese Company, Inc.",no,12/31/2020,12/31/2021,,,,,,,_no report as of 11/23/2022,no 2020 data,,yes,,_none,no,,,,,,2800,,Processed Foods,,,,,,,,,,,,www.hilmarcheese.com#http://www.hilmarcheese.com#,,,1
62,1736,,2058,,1736,,2058,,1,1,y,,"Boston Beer Company, Inc.",no,12/31/2020,12/31/2021,12/25/2021,12/31/2022,no,,,,_no report as of 11/21/2022,no 2020 data,,yes,,_none,yes,,,,,,2058,,Alcoholic Beverages,,50013,,,33286,33286,yes,83299,,40.47570457,,www.bostonbeer.com#http://www.bostonbeer.com#,2022,,6
63,1968,,2056,,1968,,2056,,1,1,y,,B&G Foods Inc.,no,1/2/2021,1/2/2022,1/1/2022,12/31/2021,no,,,,CDP Questionnaire,,,yes,,_none,yes,,,,,,2056,,Processed Foods,,26688,61191,59753,,59753,yes,86441,,42.04328794,,www.bgfoods.com#http://www.bgfoods.com#,2021,,53
64,1941,,2010,,7126,,9229,,0.272382823,0.217791743,y,,Seaboard Corporation,no,12/31/2020,12/31/2021,12/31/2021,,,,,,_no report as of 11/25/2022,no 2020 data,,yes,,_none,yes,,,,,,9229,,"Meat, Poultry & Dairy",,,,,,,,,,,,www.seaboardcorp.com#http://www.seaboardcorp.com#,,,5
65,,,,,,,,,,,y,"Company replaced ""Dreyer's Grand Ice Cream"" Top 100 list",Associated British Foods plc,yes,9/12/2020,9/18/2021,,7/31/2023,no,,,,Responsibility Report 2022,,,yes,no,Wittington Investments Limitedno,yes,,,,,,16920.8175,,Processed Foods,,2272000,643000,635000,,635000,yes,2907000,,171.80021,"R. Twining and Company Limited; ACH Food Companies, Inc.",#https://www.abf.co.uk/#,2023,,6
